Time,Setpoint,Measurement,Output,Error,DeltaOutput
2.800,10.000,1.030,8.242,8.970,0.202
2.810,10.000,1.122,7.418,8.878,-0.824
2.820,10.000,1.156,8.035,8.844,0.618
2.830,10.000,1.208,7.866,8.792,-0.169
2.840,10.000,1.218,8.357,8.782,0.490
2.850,10.000,1.298,7.641,8.702,-0.716
2.860,10.000,1.275,8.770,8.725,1.129
2.870,10.000,1.342,7.858,8.658,-0.912
2.880,10.000,1.449,7.432,8.551,-0.426
2.890,10.000,1.471,8.321,8.529,0.890
2.900,10.000,1.465,8.682,8.535,0.361
2.910,10.000,1.570,7.530,8.430,-1.153
2.920,10.000,1.606,8.256,8.394,0.726
2.930,10.000,1.607,8.666,8.393,0.410
2.940,10.000,1.648,8.296,8.352,-0.370
2.950,10.000,1.685,8.370,8.315,0.074
2.960,10.000,1.713,8.488,8.287,0.118
2.970,10.000,1.789,8.006,8.211,-0.482
2.980,10.000,1.790,8.818,8.210,0.812
2.990,10.000,1.894,7.747,8.106,-1.071
3.000,10.000,1.895,8.840,8.105,1.093
3.010,10.000,1.919,8.647,8.081,-0.193
3.020,10.000,1.983,8.251,8.017,-0.397
3.030,10.000,2.045,8.280,7.955,0.029
3.040,10.000,2.114,8.199,7.886,-0.081
3.050,10.000,2.076,9.372,7.924,1.173
3.060,10.000,2.153,8.202,7.847,-1.170
3.070,10.000,2.222,8.283,7.778,0.081
3.080,10.000,2.184,9.449,7.816,1.166
3.090,10.000,2.236,8.560,7.764,-0.889
3.100,10.000,2.288,8.565,7.712,0.005
3.110,10.000,2.320,8.801,7.680,0.237
3.120,10.000,2.415,8.130,7.585,-0.671
3.130,10.000,2.459,8.658,7.541,0.528
3.140,10.000,2.501,8.700,7.499,0.042
3.150,10.000,2.464,9.591,7.536,0.891
3.160,10.000,2.552,8.301,7.448,-1.289
3.170,10.000,2.628,8.408,7.372,0.107
3.180,10.000,2.610,9.426,7.390,1.019
3.190,10.000,2.664,8.718,7.336,-0.708
3.200,10.000,2.727,8.619,7.273,-0.099
3.210,10.000,2.760,8.935,7.240,0.316
3.220,10.000,2.771,9.216,7.229,0.281
3.230,10.000,2.834,8.679,7.166,-0.537
3.240,10.000,2.827,9.447,7.173,0.768
3.250,10.000,2.937,8.227,7.063,-1.221
3.260,10.000,2.989,8.810,7.011,0.584
3.270,10.000,2.969,9.605,7.031,0.795
3.280,10.000,3.012,8.982,6.988,-0.623
3.290,10.000,3.030,9.280,6.970,0.298
3.300,10.000,3.072,9.044,6.928,-0.236
3.310,10.000,3.176,8.384,6.824,-0.660
3.320,10.000,3.170,9.537,6.830,1.153
3.330,10.000,3.235,8.815,6.765,-0.722
3.340,10.000,3.259,9.265,6.741,0.450
3.350,10.000,3.287,9.241,6.713,-0.024
3.360,10.000,3.373,8.632,6.627,-0.608
3.370,10.000,3.326,10.058,6.674,1.426
3.380,10.000,3.389,8.955,6.611,-1.103
3.390,10.000,3.496,8.458,6.504,-0.497
3.400,10.000,3.454,10.040,6.546,1.582
3.410,10.000,3.529,8.854,6.471,-1.186
3.420,10.000,3.526,9.676,6.474,0.822
3.430,10.000,3.645,8.392,6.355,-1.284
3.440,10.000,3.617,9.950,6.383,1.558
3.450,10.000,3.722,8.552,6.278,-1.399
3.460,10.000,3.757,9.278,6.243,0.727
3.470,10.000,3.777,9.457,6.223,0.179
3.480,10.000,3.818,9.249,6.182,-0.208
3.490,10.000,3.801,9.901,6.199,0.653
3.500,10.000,3.834,9.417,6.166,-0.485
3.510,10.000,3.898,9.086,6.102,-0.331
3.520,10.000,3.975,8.934,6.025,-0.152
3.530,10.000,3.972,9.783,6.028,0.849
3.540,10.000,3.960,9.932,6.040,0.149
3.550,10.000,3.996,9.461,6.004,-0.471
3.560,10.000,4.063,9.135,5.937,-0.325
3.570,10.000,4.164,8.744,5.836,-0.391
3.580,10.000,4.134,10.122,5.866,1.378
3.590,10.000,4.206,9.090,5.794,-1.032
3.600,10.000,4.184,10.084,5.816,0.994
3.610,10.000,4.264,9.035,5.736,-1.048
3.620,10.000,4.293,9.563,5.707,0.528
3.630,10.000,4.334,9.451,5.666,-0.112
3.640,10.000,4.334,9.906,5.666,0.455
3.650,10.000,4.354,9.726,5.646,-0.180
3.660,10.000,4.484,8.541,5.516,-1.185
3.670,10.000,4.425,10.539,5.575,1.999
3.680,10.000,4.467,9.531,5.533,-1.008
3.690,10.000,4.514,9.468,5.486,-0.063
3.700,10.000,4.530,9.813,5.470,0.344
3.710,10.000,4.592,9.339,5.408,-0.473
3.720,10.000,4.669,9.143,5.331,-0.196
3.730,10.000,4.645,10.230,5.355,1.086
3.740,10.000,4.687,9.562,5.313,-0.668
3.750,10.000,4.705,9.837,5.295,0.275
3.760,10.000,4.748,9.575,5.252,-0.262
3.770,10.000,4.788,9.616,5.212,0.040
3.780,10.000,4.888,8.955,5.112,-0.661
3.790,10.000,4.929,9.543,5.071,0.588
3.800,10.000,4.914,10.157,5.086,0.614
3.810,10.000,4.909,10.102,5.091,-0.055
3.820,10.000,4.984,9.274,5.016,-0.829
3.830,10.000,5.008,9.787,4.992,0.514
3.840,10.000,5.064,9.464,4.936,-0.323
3.850,10.000,5.083,9.843,4.917,0.379
3.860,10.000,5.108,9.808,4.892,-0.035
3.870,10.000,5.193,9.151,4.807,-0.658
3.880,10.000,5.177,10.227,4.823,1.076
3.890,10.000,5.242,9.385,4.758,-0.842
3.900,10.000,5.255,9.921,4.745,0.536
3.910,10.000,5.288,9.737,4.712,-0.184
3.920,10.000,5.290,10.077,4.710,0.340
3.930,10.000,5.304,9.989,4.696,-0.089
3.940,10.000,5.341,9.751,4.659,-0.238
3.950,10.000,5.407,9.429,4.593,-0.321
3.960,10.000,5.399,10.221,4.601,0.792
3.970,10.000,5.431,9.823,4.569,-0.398
3.980,10.000,5.509,9.321,4.491,-0.503
3.990,10.000,5.501,10.231,4.499,0.910
4.000,10.000,5.545,9.691,4.455,-0.540
4.010,10.000,5.604,9.527,4.396,-0.164
4.020,10.000,5.622,9.953,4.378,0.426
4.030,10.000,5.609,10.308,4.391,0.355
4.040,10.000,5.715,9.048,4.285,-1.260
4.050,10.000,5.733,9.933,4.267,0.886
4.060,10.000,5.704,10.485,4.296,0.552
4.070,10.000,5.818,8.958,4.182,-1.528
4.080,10.000,5.842,9.875,4.158,0.917
4.090,10.000,5.878,9.756,4.122,-0.118
4.100,10.000,5.899,9.909,4.101,0.152
4.110,10.000,5.881,10.359,4.119,0.450
4.120,10.000,5.978,9.142,4.022,-1.217
4.130,10.000,5.934,10.626,4.066,1.484
4.140,10.000,6.013,9.345,3.987,-1.282
4.150,10.000,6.025,10.038,3.975,0.693
4.160,10.000,6.074,9.651,3.926,-0.386
4.170,10.000,6.038,10.569,3.962,0.918
4.180,10.000,6.109,9.456,3.891,-1.113
4.190,10.000,6.109,10.208,3.891,0.752
4.200,10.000,6.205,9.172,3.795,-1.036
4.210,10.000,6.151,10.760,3.849,1.588
