Time,Setpoint,Measurement,Output,Error
2.580,10.000,9.235,7.649,0.765
2.590,10.000,9.208,7.924,0.792
2.600,10.000,9.256,7.443,0.744
2.610,10.000,9.190,8.102,0.810
2.620,10.000,9.198,8.015,0.802
2.630,10.000,9.205,7.946,0.795
2.640,10.000,9.209,7.910,0.791
2.650,10.000,9.228,7.716,0.772
2.660,10.000,9.236,7.642,0.764
2.670,10.000,9.221,7.787,0.779
2.680,10.000,9.231,7.693,0.769
2.690,10.000,9.250,7.499,0.750
2.700,10.000,9.219,7.806,0.781
2.710,10.000,9.256,7.440,0.744
2.720,10.000,9.253,7.473,0.747
2.730,10.000,9.226,7.737,0.774
2.740,10.000,9.200,8.004,0.800
2.750,10.000,9.239,7.608,0.761
2.760,10.000,9.245,7.553,0.755
2.770,10.000,9.261,7.386,0.739
2.780,10.000,9.279,7.215,0.721
2.790,10.000,9.236,7.642,0.764
2.800,10.000,9.254,7.459,0.746
2.810,10.000,9.276,7.242,0.724
2.820,10.000,9.230,7.695,0.770
2.830,10.000,9.270,7.296,0.730
2.840,10.000,9.231,7.691,0.769
2.850,10.000,9.268,7.322,0.732
2.860,10.000,9.222,7.785,0.778
2.870,10.000,9.244,7.565,0.756
2.880,10.000,9.247,7.527,0.753
2.890,10.000,9.173,8.268,0.827
2.900,10.000,9.271,7.291,0.729
2.910,10.000,9.220,7.802,0.780
2.920,10.000,9.183,8.171,0.817
2.930,10.000,9.186,8.138,0.814
2.940,10.000,9.245,7.547,0.755
2.950,10.000,9.209,7.912,0.791
2.960,10.000,9.229,7.713,0.771
2.970,10.000,9.192,8.075,0.808
2.980,10.000,9.245,7.550,0.755
2.990,10.000,9.272,7.284,0.728
3.000,10.000,9.252,7.477,0.748
3.010,10.000,9.272,7.282,0.728
3.020,10.000,9.233,7.673,0.767
3.030,10.000,9.214,7.860,0.786
3.040,10.000,9.211,7.893,0.789
3.050,10.000,9.248,7.516,0.752
3.060,10.000,9.266,7.335,0.734
3.070,10.000,9.266,7.339,0.734
3.080,10.000,9.218,7.820,0.782
3.090,10.000,9.257,7.430,0.743
3.100,10.000,9.217,7.827,0.783
3.110,10.000,9.191,8.093,0.809
3.120,10.000,9.254,7.455,0.746
3.130,10.000,9.272,7.277,0.728
3.140,10.000,9.182,8.177,0.818
3.150,10.000,9.209,7.906,0.791
3.160,10.000,9.267,7.331,0.733
3.170,10.000,9.233,7.669,0.767
3.180,10.000,9.179,8.214,0.821
3.190,10.000,9.242,7.576,0.758
3.200,10.000,9.237,7.631,0.763
3.210,10.000,9.176,8.237,0.824
3.220,10.000,9.192,8.084,0.808
3.230,10.000,9.251,7.486,0.749
3.240,10.000,9.190,8.096,0.810
3.250,10.000,9.261,7.388,0.739
3.260,10.000,9.181,8.188,0.819
3.270,10.000,9.243,7.570,0.757
3.280,10.000,9.274,7.257,0.726
3.290,10.000,9.244,7.562,0.756
3.300,10.000,9.229,7.707,0.771
3.310,10.000,9.244,7.555,0.756
3.320,10.000,9.237,7.634,0.763
3.330,10.000,9.186,8.141,0.814
3.340,10.000,9.185,8.150,0.815
3.350,10.000,9.276,7.236,0.724
3.360,10.000,9.260,7.403,0.740
3.370,10.000,9.274,7.264,0.726
3.380,10.000,9.261,7.387,0.739
3.390,10.000,9.200,8.004,0.800
3.400,10.000,9.255,7.448,0.745
3.410,10.000,9.206,7.939,0.794
3.420,10.000,9.220,7.799,0.780
3.430,10.000,9.236,7.642,0.764
3.440,10.000,9.207,7.929,0.793
3.450,10.000,9.233,7.666,0.767
3.460,10.000,9.273,7.274,0.727
3.470,10.000,9.198,8.022,0.802
3.480,10.000,9.193,8.070,0.807
3.490,10.000,9.180,8.198,0.820
3.500,10.000,9.272,7.284,0.728
3.510,10.000,9.257,7.425,0.743
3.520,10.000,9.181,8.195,0.819
3.530,10.000,9.184,8.160,0.816
3.540,10.000,9.233,7.675,0.767
3.550,10.000,9.197,8.027,0.803
3.560,10.000,9.268,7.319,0.732
3.570,10.000,9.233,7.666,0.767
3.580,10.000,9.257,7.430,0.743
3.590,10.000,9.256,7.438,0.744
3.600,10.000,9.194,8.057,0.806
3.610,10.000,9.207,7.934,0.793
3.620,10.000,9.224,7.761,0.776
3.630,10.000,9.257,7.432,0.743
3.640,10.000,9.215,7.851,0.785
3.650,10.000,9.228,7.718,0.772
3.660,10.000,9.250,7.505,0.750
3.670,10.000,9.194,8.059,0.806
3.680,10.000,9.224,7.758,0.776
3.690,10.000,9.236,7.639,0.764
3.700,10.000,9.222,7.785,0.778
3.710,10.000,9.204,7.962,0.796
3.720,10.000,9.269,7.308,0.731
3.730,10.000,9.265,7.349,0.735
3.740,10.000,9.260,7.402,0.740
3.750,10.000,9.193,8.066,0.807
3.760,10.000,9.219,7.812,0.781
3.770,10.000,9.256,7.444,0.744
3.780,10.000,9.217,7.829,0.783
3.790,10.000,9.234,7.656,0.766
3.800,10.000,9.255,7.450,0.745
3.810,10.000,9.205,7.950,0.795
3.820,10.000,9.211,7.887,0.789
3.830,10.000,9.258,7.420,0.742
3.840,10.000,9.208,7.917,0.792
3.850,10.000,9.260,7.399,0.740
3.860,10.000,9.269,7.312,0.731
3.870,10.000,9.187,8.128,0.813
3.880,10.000,9.208,7.921,0.792
3.890,10.000,9.243,7.565,0.757
3.900,10.000,9.264,7.358,0.736
3.910,10.000,9.220,7.801,0.780
3.920,10.000,9.265,7.352,0.735
3.930,10.000,9.200,7.998,0.800
3.940,10.000,9.192,8.077,0.808
3.950,10.000,9.199,8.015,0.801
3.960,10.000,9.250,7.498,0.750
3.970,10.000,9.260,7.395,0.740
3.980,10.000,9.208,7.917,0.792
3.990,10.000,9.187,8.127,0.813
4.000,10.000,9.213,7.871,0.787
4.010,10.000,9.249,7.506,0.751
4.020,10.000,9.208,7.925,0.792
4.030,10.000,9.196,8.043,0.804
4.040,10.000,9.232,7.685,0.768
4.050,10.000,9.288,7.125,0.712
4.060,10.000,9.206,7.938,0.794
4.070,10.000,9.265,7.354,0.735
4.080,10.000,9.255,7.453,0.745
4.090,10.000,9.238,7.616,0.762
4.100,10.000,9.211,7.887,0.789
4.110,10.000,9.225,7.745,0.775
4.120,10.000,9.262,7.375,0.738
4.130,10.000,9.239,7.614,0.761
4.140,10.000,9.197,8.033,0.803
4.150,10.000,9.187,8.126,0.813
4.160,10.000,9.219,7.815,0.781
4.170,10.000,9.288,7.117,0.712
4.180,10.000,9.194,8.059,0.806
4.190,10.000,9.243,7.571,0.757
4.200,10.000,9.245,7.545,0.755
4.210,10.000,9.275,7.246,0.725
4.220,10.000,9.277,7.230,0.723
4.230,10.000,9.222,7.782,0.778
4.240,10.000,9.191,8.094,0.809
4.250,10.000,9.188,8.124,0.812
4.260,10.000,9.242,7.583,0.758
4.270,10.000,9.259,7.411,0.741
4.280,10.000,9.263,7.367,0.737
4.290,10.000,9.263,7.375,0.737
4.300,10.000,9.256,7.438,0.744
4.310,10.000,9.184,8.162,0.816
4.320,10.000,9.223,7.768,0.777
4.330,10.000,9.279,7.214,0.721
4.340,10.000,9.192,8.083,0.808
4.350,10.000,9.264,7.357,0.736
4.360,10.000,9.273,7.267,0.727
4.370,10.000,9.209,7.911,0.791
4.380,10.000,9.237,7.625,0.763
4.390,10.000,9.240,7.598,0.760
4.400,10.000,9.263,7.370,0.737
